postcode_district,area_name,geography_level,nation,region,total_premises,fttp_available_premises,area_sq_km,non_fttp_premises,fttp_coverage_percent,premises_density,opportunity_score,opportunity_category
E06000052,Cornwall,Local authority,England,Cornwall,312395,203943,0.0,108452,65.28369532162806,0.0,60.41,Major opportunity
S12000034,Aberdeenshire,Local authority,Scotland,Aberdeenshire,131027,63535,0.0,67492,48.490005876651374,0.0,46.47,Major opportunity
S12000035,Argyll And Bute,Local authority,Scotland,Argyll And Bute,58013,13837,0.0,44176,23.851550514539845,0.0,43.06,Major opportunity
S12000048,Perth And Kinross,Local authority,Scotland,Perth And Kinross,82087,30065,0.0,52022,36.62577509228014,0.0,42.87,Major opportunity
E06000054,Wiltshire,Local authority,England,Wiltshire,242119,168810,0.0,73309,69.72191360446722,0.0,42.8,Major opportunity
E06000066,Somerset,Local authority,England,Somerset,287056,214242,0.0,72814,74.63421771361686,0.0,41.1,Major opportunity
E09000010,Enfield,Local authority,England,Enfield,137604,81821,0.0,55783,59.46120752303712,0.0,37.76,Major opportunity
E08000025,Birmingham,Local authority,England,Birmingham,495645,424078,0.0,71567,85.5608348717328,0.0,37.24,Major opportunity
E06000060,Buckinghamshire,Local authority,England,Buckinghamshire,250031,186216,0.0,63815,74.47716483156088,0.0,36.98,Major opportunity
S12000047,Fife,Local authority,Scotland,Fife,197211,141357,0.0,55854,71.67805041300942,0.0,34.13,Major opportunity
S12000017,Highland,Local authority,Scotland,Highland,137076,86837,0.0,50239,63.349528728588524,0.0,34.02,Major opportunity
S12000029,South Lanarkshire,Local authority,Scotland,South Lanarkshire,168033,115568,0.0,52465,68.7769664292133,0.0,33.43,Major opportunity
S12000013,Na H-Eileanan Siar,Local authority,Scotland,Na H-Eileanan Siar,17811,2138,0.0,15673,12.003817865364102,0.0,33.41,Major opportunity
E09000008,Croydon,Local authority,England,Croydon,175754,124253,0.0,51501,70.69711073432184,0.0,32.4,Major opportunity
E09000003,Barnet,Local authority,England,Barnet,167914,117119,0.0,50795,69.74939552389914,0.0,32.36,Major opportunity
E06000065,North Yorkshire,Local authority,England,North Yorkshire,328672,270510,0.0,58162,82.30393827280693,0.0,32.01,Major opportunity
E09000014,Haringey,Local authority,England,Haringey,114429,70437,0.0,43992,61.555200167789636,0.0,31.67,Major opportunity
E06000025,South Gloucestershire,Local authority,England,South Gloucestershire,137521,92158,0.0,45363,67.01376517041034,0.0,30.66,Major opportunity
E09000006,Bromley,Local authority,England,Bromley,148822,102996,0.0,45826,69.20750964239159,0.0,30.22,Major opportunity
E06000020,Telford And Wrekin,Local authority,England,Telford And Wrekin,89421,51411,0.0,38010,57.4932062938236,0.0,30.11,Major opportunity
E06000043,Brighton And Hove,Local authority,England,Brighton And Hove,145440,100157,0.0,45283,68.86482398239824,0.0,30.07,Major opportunity
S12000050,North Lanarkshire,Local authority,Scotland,North Lanarkshire,169925,123443,0.0,46482,72.64557893188172,0.0,29.49,Major opportunity
E06000004,Stockton-On-Tees,Local authority,England,Stockton-On-Tees,93612,55786,0.0,37826,59.592787249497924,0.0,29.4,Major opportunity
E06000059,Dorset,Local authority,England,Dorset,197995,149983,0.0,48012,75.75090280057577,0.0,29.27,Major opportunity
E09000009,Ealing,Local authority,England,Ealing,161460,116192,0.0,45268,71.96333457203022,0.0,29.14,Major opportunity
S12000027,Shetland Islands,Local authority,Scotland,Shetland Islands,13367,2678,0.0,10689,20.034413106905063,0.0,28.69,Major opportunity
E07000073,Harlow,Local authority,England,Harlow,42481,17790,0.0,24691,41.877545255526,0.0,28.63,Major opportunity
E09000018,Hounslow,Local authority,England,Hounslow,107464,70805,0.0,36659,65.88718082334549,0.0,26.97,Major opportunity
E07000147,North Norfolk,Local authority,England,North Norfolk,62089,33813,0.0,28276,54.45892187021856,0.0,26.51,Major opportunity
E06000051,Shropshire,Local authority,England,Shropshire,159756,118691,0.0,41065,74.29517514209168,0.0,26.49,Major opportunity
E07000178,Oxford,Local authority,England,Oxford,69368,39634,0.0,29734,57.1358551493484,0.0,26.39,Major opportunity
S12000036,City Of Edinburgh,Local authority,Scotland,City Of Edinburgh,290522,244609,0.0,45913,84.19637755488397,0.0,25.76,Major opportunity
E06000049,Cheshire East,Local authority,England,Cheshire East,201908,159909,0.0,41999,79.19894209243814,0.0,25.45,Major opportunity
E06000058,"Bournemouth, Christchurch And Poole",Local authority,England,"Bournemouth, Christchurch And Poole",202347,160593,0.0,41754,79.36514996515886,0.0,25.29,Major opportunity
S12000023,Orkney Islands,Local authority,Scotland,Orkney Islands,13362,4015,0.0,9347,30.04789702140398,0.0,25.07,Major opportunity
E06000003,Redcar And Cleveland,Local authority,England,Redcar And Cleveland,70507,42509,0.0,27998,60.29046761314479,0.0,24.64,Major opportunity
E07000222,Warwick,Local authority,England,Warwick,73506,45099,0.0,28407,61.354175169373924,0.0,24.51,Major opportunity
E07000093,Test Valley,Local authority,England,Test Valley,62034,35954,0.0,26080,57.95853886578328,0.0,24.45,Major opportunity
E06000047,County Durham,Local authority,England,County Durham,268929,226085,0.0,42844,84.0686575267078,0.0,24.38,Major opportunity
E07000236,Redditch,Local authority,England,Redditch,40342,20012,0.0,20330,49.60586981309801,0.0,24.29,Major opportunity
E07000094,Winchester,Local authority,England,Winchester,61397,35867,0.0,25530,58.41816375392934,0.0,24.05,Major opportunity
E06000056,Central Bedfordshire,Local authority,England,Central Bedfordshire,140078,104251,0.0,35827,74.4235354588158,0.0,24.02,Major opportunity
S12000041,Angus,Local authority,Scotland,Angus,62607,36899,0.0,25708,58.93749900170907,0.0,23.98,Major opportunity
W06000023,Powys,Local authority,Wales,Powys,71500,44431,0.0,27069,62.141258741258746,0.0,23.65,Major opportunity
S12000039,West Dunbartonshire,Local authority,Scotland,West Dunbartonshire,48494,26644,0.0,21850,54.94287953148843,0.0,23.39,Major opportunity
E06000002,Middlesbrough,Local authority,England,Middlesbrough,71097,44519,0.0,26578,62.61726936438949,0.0,23.28,Major opportunity
E07000137,East Lindsey,Local authority,England,East Lindsey,76235,48795,0.0,27440,64.0060339738965,0.0,23.26,Major opportunity
E07000146,King'S Lynn And West Norfolk,Local authority,England,King'S Lynn And West Norfolk,80857,52787,0.0,28070,65.28439096182149,0.0,23.17,Major opportunity
E07000071,Colchester,Local authority,England,Colchester,91412,62171,0.0,29241,68.01185839933488,0.0,22.9,Major opportunity
E07000084,Basingstoke And Deane,Local authority,England,Basingstoke And Deane,86328,57795,0.0,28533,66.94815123714206,0.0,22.89,Major opportunity
S12000006,Dumfries And Galloway,Local authority,Scotland,Dumfries And Galloway,83562,55912,0.0,27650,66.91079677365309,0.0,22.49,Major opportunity
E07000044,South Hams,Local authority,England,South Hams,51519,30191,0.0,21328,58.60168093324793,0.0,22.05,Major opportunity
E08000023,South Tyneside,Local authority,England,South Tyneside,76597,50844,0.0,25753,66.37857879551419,0.0,21.77,Major opportunity
E06000023,"Bristol, City Of",Local authority,England,"Bristol, City Of",219825,183259,0.0,36566,83.36585920618674,0.0,21.68,Major opportunity
E07000180,Vale Of White Horse,Local authority,England,Vale Of White Horse,67555,43464,0.0,24091,64.33868699578122,0.0,21.61,Major opportunity
E07000207,Elmbridge,Local authority,England,Elmbridge,62685,39580,0.0,23105,63.14110233708223,0.0,21.51,Major opportunity
E07000085,East Hampshire,Local authority,England,East Hampshire,60335,37817,0.0,22518,62.67837905030248,0.0,21.38,Major opportunity
E07000241,Welwyn Hatfield,Local authority,England,Welwyn Hatfield,52174,31358,0.0,20816,60.1027331621114,0.0,21.36,Major opportunity
E07000043,North Devon,Local authority,England,North Devon,54147,32967,0.0,21180,60.88425951576265,0.0,21.3,Major opportunity
E09000005,Brent,Local authority,England,Brent,144962,112835,0.0,32127,77.83764020915827,0.0,21.28,Major opportunity
E09000027,Richmond Upon Thames,Local authority,England,Richmond Upon Thames,89806,63206,0.0,26600,70.38059817829544,0.0,20.96,Major opportunity
E07000012,South Cambridgeshire,Local authority,England,South Cambridgeshire,77917,53029,0.0,24888,68.05831846708678,0.0,20.86,Major opportunity
E07000243,Stevenage,Local authority,England,Stevenage,40195,22832,0.0,17363,56.80308496081602,0.0,20.75,Major opportunity
E09000023,Lewisham,Local authority,England,Lewisham,142852,112076,0.0,30776,78.45602441687902,0.0,20.47,Major opportunity
S12000018,Inverclyde,Local authority,Scotland,Inverclyde,42546,24812,0.0,17734,58.318055751421994,0.0,20.47,Major opportunity
E07000203,Mid Suffolk,Local authority,England,Mid Suffolk,53972,33655,0.0,20317,62.356407025865266,0.0,20.46,Major opportunity
E07000143,Breckland,Local authority,England,Breckland,70310,47308,0.0,23002,67.28488124022188,0.0,20.22,Major opportunity
E09000020,Kensington And Chelsea,Local authority,England,Kensington And Chelsea,97970,71561,0.0,26409,73.04378891497397,0.0,20.07,Major opportunity
